ID	geomorphologie_beschreibung	Lithologie	geologie_text	BODENTYP_orig	KLASSE	TYP	SUBTYP	VARIETÄT	VARIETÄT2	humusform_orig	gebiet1_parentmaterial_numerogis
14101	silikatisches Sedimentgestein	Pelite, Siltite und Sandsteine		Braunerde auf bindig-tonigem Material (Pelosol)	BRAUNERDEN	Braunerde	Braunerde – tonig				378
14154	Blockschutt	Blockschutt		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				362
14175	Blockschutt	Blockschutt		Kalklehme (rezent)	KALKLEHME	Kalkbraunlehm	Kalkbraunlehm				362
14176	karbonatisches Festgestein	Dolomite		Braunerde auf bindig-tonigem Material (Pelosol)	BRAUNERDEN	Braunerde	Braunerde – tonig				575
14177	Moraene undifferenziert	Moraene undifferenziert		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				191
15401	karbonatisches Festgestein	Kalke		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				372
15402	gemischte Ablagerung	gemischte Ablagerung		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				3491
15403	Moraene undifferenziert	Moraene undifferenziert		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde				191
15404	gemischte Kegel	gemischte Kegel		Braunerde auf bindig-tonigem Material (Pelosol)	BRAUNERDEN	Braunerde	Braunerde – tonig				371
15405	Moraene undifferenziert	Moraene undifferenziert		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				191
15450	Hangschutt	Hangschutt		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				193
15451	Hangschutt	Hangschutt		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				193
15452	Hangschutt	Hangschutt		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				193
15453	Hangschutt	Hangschutt		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde				3492
15475	Hangschutt	Hangschutt		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				3492
15476	gemischte Ablagerung	gemischte Ablagerung		Kalklehme (rezent)	KALKLEHME	Kalkbraunlehm	Kalkbraunlehm				3491
15477	karbonatisches Festgestein	Kalke		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				372
15580	Glaziolakustrine Ablagerung	Lakustrine Ablagerung		Braunerde auf Lockersediment leicht	BRAUNERDEN	Braunerde	Typische Braunerde				643
15581	Alluviale Ablagerung	Alluviale Ablagerung		(Para)Braunerde basenreich leicht	BRAUNERDEN	Braunerde	Typische Braunerde				640
16201	Moraene undifferenziert	Moraene undifferenziert		Parabraunerde	BRAUNERDEN	Parabraunerde	Parabraunerde				191
16202	Hangschutt	Hangschutt		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				193
16203	Hangschutt	Hangschutt		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				193
16204	Hangschutt	Hangschutt		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				193
16250	Hangschutt	Hangschutt		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				193
16251	Hangschutt	Hangschutt		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				3492
16253	karbonatisches Festgestein	Dolomite		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				680
16301	Alluviale Ablagerung	Alluviale Ablagerung		Braunerde auf Lockersediment leicht	BRAUNERDEN	Braunerde	Typische Braunerde				640
16302	Moraene undifferenziert	Moraene undifferenziert		Braunerde basenarm podsoliert	BRAUNERDEN	Braunerde	Podsolige Braunerde				191
16303	silikatisches Festgestein	Rhyolithe		Braunerde podsolig	BRAUNERDEN	Braunerde	Podsolige Braunerde				614
16304	Grundmoraene	Grundmoraene		Braunerde basenarm podsoliert	BRAUNERDEN	Braunerde	Podsolige Braunerde				576
16351	Grundmoraene	Grundmoraene		Braunerde auf Lockersediment leicht	BRAUNERDEN	Braunerde	Typische Braunerde				576
bd01	Hangschutt	Hangschutt		Moderrendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Moder-Rendzina				3492
bd02	Hangschutt	Hangschutt		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				3492
bd03	Hangschutt	Hangschutt		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				193
bd04	Hangschutt	Hangschutt		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				3492
bd05	Hangschutt	Hangschutt		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde				3492
bd06	Hangschutt	Hangschutt		Feinmaterial-Rohboden carbonathaltig	TERRESTRISCHE ROHBÖDEN	Feinmaterial-Rohboden	Carbonathaltiger Feinmaterial-Rohboden				3492
bd07	Hangschutt	Hangschutt		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				193
bd09	silikatisches Sedimentgestein	Pelite, Siltite und Sandsteine		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde				364
bd10	Hangschutt	Hangschutt		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde				193
bd11	Hangschutt	Hangschutt		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				3492
bd13	Hangschutt	Hangschutt		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				3492
bd15	Hangschutt	Hangschutt		Pararendsina-Pelosol	TERRESTRISCHE HUMUSBÖDEN	Textur-Substratboden	Textur-Substratboden				3492
bd16	Hangschutt	Hangschutt		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				3492
bd17	Moraene undifferenziert	Moraene undifferenziert		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde				191
bd18	gemischte Kegel	gemischte Kegel		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				371
bd19	Moraene undifferenziert	Moraene undifferenziert		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde				191
bd20	Moraene undifferenziert	Moraene undifferenziert		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde				191
be01	gemischte Kegel	gemischte Kegel		Braunerde auf bindig-tonigem Material (Pelosol)	BRAUNERDEN	Braunerde	Braunerde – tonig				371
be02	Moraene undifferenziert	Moraene undifferenziert		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				191
be03	Moraene undifferenziert	Moraene undifferenziert		Braunerde basenreich	BRAUNERDEN	Braunerde	Typische Braunerde				191
be04	karbonatisches Festgestein	Kalke		Braunerde auf bindig-tonigem Material (Pelosol)	BRAUNERDEN	Braunerde	Braunerde – tonig				376
be05	karbonatisches Festgestein	Kalke		Kalklehme (rezent)	KALKLEHME	Kalkbraunlehm	Kalkbraunlehm				376
f03	Blockschutt	Blockschutt		Parabraunerde	BRAUNERDEN	Parabraunerde	Parabraunerde				362
f07	Hangschutt	Hangschutt		Moderrendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Moder-Rendzina				193
g01	Blockschutt	Blockschutt		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				3493
gr01	silikatisches Festgestein	Rhyolithe		Braunerde (basenarm)	BRAUNERDEN	Braunerde	Typische Braunerde				571
gr02	silikatisches Festgestein	Rhyolithe		Braunerde-Ranker	TERRESTRISCHE HUMUSBÖDEN	Ranker	Ranker	brauner			571
gr03	Hangschutt	Hangschutt		Braunerde (basenarm)	BRAUNERDEN	Braunerde	Typische Braunerde				193
gr04	Moraene undifferenziert	Moraene undifferenziert		Braunerde (basenarm)	BRAUNERDEN	Braunerde	Typische Braunerde				191
gr05	Hangschutt	Hangschutt		Braunerde (basenarm)	BRAUNERDEN	Braunerde	Typische Braunerde				193
gr06	Hangschutt	Hangschutt		Braunerde-Ranker	TERRESTRISCHE HUMUSBÖDEN	Ranker	Ranker	brauner			193
gr07	silikatisches Festgestein	Rhyolithe		Braunerde (basenarm)	BRAUNERDEN	Braunerde	Typische Braunerde				574
gr08	Moraene undifferenziert	Moraene undifferenziert		Braunerde basenreich	BRAUNERDEN	Braunerde	Typische Braunerde				191
gr09	karbonatisches Festgestein	Dolomite		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde				548
hd01	Grundmoraene	Grundmoraene		Kalkbraunlehm (Terra fusca relikt.)	KALKLEHME	Kalkbraunlehm	Kalkbraunlehm	relikter		b	576
hd02	gemischte Kegel	gemischte Kegel		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde	carbonatfrei			604
hd03	Grundmoraene	Grundmoraene		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde	carbonatfrei			576
hd06	Hangschutt	Hangschutt		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				3492
hd07	Hangschutt	Hangschutt		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				3492
hd08	karbonatisches Festgestein	Dolomite		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				377
hd09	karbonatisches Festgestein	Dolomite		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				377
hd10	gemischte Kegel	gemischte Kegel		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				371
hd12	gemischtes Sedimentgestein	Pelite, Siltite und Sandsteine		Kalklehme (rezent)	KALKLEHME	Kalkbraunlehm	Kalkbraunlehm				654
hd13	Hangschutt	Hangschutt		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				193
hd14	Hangschutt	Hangschutt		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				193
hd15	Hangschutt	Hangschutt		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				3492
hd16	gemischte Kegel	gemischte Kegel		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde				371
hd17	Moraene undifferenziert	Moraene undifferenziert		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				191
hd18	Hangschutt	Hangschutt		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				193
hd19	Hangschutt	Hangschutt		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				193
hd20	Hangschutt	Hangschutt		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				193
hd21	Hangschutt	Hangschutt		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				193
he01	Grundmoraene	Grundmoraene		Braunerde (basenarm)	BRAUNERDEN	Braunerde	Typische Braunerde	basenarm			576
hf01	Moraene undifferenziert	Moraene undifferenziert		Braunerde auf Lockersediment leicht	BRAUNERDEN	Braunerde	Typische Braunerde	auf Lockersediment	leicht		191
hf02	Hangschutt	Hangschutt		Braunerde (basenarm)	BRAUNERDEN	Braunerde	Typische Braunerde	basenarm			193
hf03	Hangschutt	Hangschutt		Braunerde (basenarm)	BRAUNERDEN	Braunerde	Typische Braunerde	basenarm			193
hf04	Moraene undifferenziert	Moraene undifferenziert		Pararendsina verbraunt	TERRESTRISCHE HUMUSBÖDEN	Pararendzina	Pararendzina	verbraunt			191
hf05	Moraene undifferenziert	Moraene undifferenziert		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				191
hg01	Hangschutt	Hangschutt		Pararendsina verbraunt	TERRESTRISCHE HUMUSBÖDEN	Pararendzina	Pararendzina	verbraunt			193
hg02	Moraene undifferenziert	Moraene undifferenziert		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				191
hg03	karbonatisches Festgestein	Dolomite		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				575
hg04	Hangschutt	Hangschutt		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				193
hg05	Hangschutt	Hangschutt		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde	carbonathaltig			3492
hg06	Hangschutt	Hangschutt		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				3492
hg07	Hangschutt	Hangschutt		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				3492
hg08	gemischte Kegel	gemischte Kegel		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				604
hg09	Moraene undifferenziert	Moraene undifferenziert		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde	carbonathaltig			191
hh01	gemischte Kegel	gemischte Kegel		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				371
hh02	karbonatisches Festgestein	Dolomite		Pararendsina verbraunt	TERRESTRISCHE HUMUSBÖDEN	Pararendzina	Pararendzina	verbraunt			548
hh03	karbonatisches Festgestein	Dolomite		Pararendsina verbraunt	TERRESTRISCHE HUMUSBÖDEN	Pararendzina	Pararendzina	verbraunt			548
hh04	Moraene undifferenziert	Moraene undifferenziert		Kalklehme (rezent)	KALKLEHME	Kalkbraunlehm	Kalkbraunlehm				191
hh05	gemischte Kegel	gemischte Kegel		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				371
hh06	karbonatisches Festgestein	Dolomite		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				548
hh07	karbonatisches Festgestein	Dolomite		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde	carbonathaltig			548
hh08	Hangschutt	Hangschutt		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				3492
hh09	karbonatisches Festgestein	Dolomite		Kalkbraunlehm (Terra fusca relikt.)	KALKLEHME	Kalkbraunlehm	Kalkbraunlehm	relikter			548
hh10	karbonatisches Festgestein	Dolomite		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				548
hh11	Moraene undifferenziert	Moraene undifferenziert		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				191
hh12	Hangschutt	Hangschutt		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				193
hh14	karbonatisches Festgestein	Dolomite		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				575
hh15	karbonatisches Festgestein	Dolomite		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				575
hh16	karbonatisches Festgestein	Kalke		Braunerde carbonathaltig	TERRESTRISCHE HUMUSBÖDEN	Braunerde	Carbonathaltige Braunerde	carbonathaltig			374
hh17	Hangschutt	Hangschutt		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				193
hi01	gemischtes Sedimentgestein	Pelite, Siltite und Sandsteine		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				656
hi02	Hangschutt	Hangschutt		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				193
hi03	Hangschutt	Hangschutt		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde	carbonathaltig			3492
hi04	Moraene undifferenziert	Moraene undifferenziert		Pararendsina-Pelosol	SUBSTRATBÖDEN	Textur-Substratboden	Textur-Substratboden				191
hj02	silikatisches Festgestein	Rhyolithe		Grobmaterial-Rohboden carbonathaltig	TERRESTRISCHE ROHBÖDEN	Grobmaterial-Rohboden	Carbonathaltiger Grobmaterial-Rohboden				192
hj03	Moraene undifferenziert	Moraene undifferenziert		Braunerde-Ranker	TERRESTRISCHE HUMUSBÖDEN	Ranker	Ranker	brauner			191
hj04	Moraene undifferenziert	Moraene undifferenziert		Braunerde podsolig	BRAUNERDEN	Braunerde	Podsolige Braunerde				191
hj05	Hangschutt	Hangschutt		Braunerde (basenarm)	BRAUNERDEN	Braunerde	Typische Braunerde	basenarm			5492
hj06	silikatisches Festgestein	Rhyolithe		Braunerde (basenarm)	BRAUNERDEN	Braunerde	Typische Braunerde	basenarm			192
hj07	silikatisches Festgestein	Rhyolithe		Ranker	TERRESTRISCHE HUMUSBÖDEN	Ranker	Ranker				192
hk01	Hangschutt	Hangschutt		Braunerde-Ranker	TERRESTRISCHE HUMUSBÖDEN	Ranker	Ranker	brauner			5493
hk02	Hangschutt	Hangschutt		Ranker	TERRESTRISCHE HUMUSBÖDEN	Ranker	Ranker				5493
hk04	Hangschutt	Hangschutt		Ranker	TERRESTRISCHE HUMUSBÖDEN	Ranker	Ranker				5493
hl03	silikatisches Festgestein	Rhyolithe		Braunerde (basenarm)	BRAUNERDEN	Braunerde	Typische Braunerde	basenarm			614
hl04	silikatisches Festgestein	Rhyolithe		Braunerde (basenarm)	BRAUNERDEN	Braunerde	Typische Braunerde	basenarm			614
hl05	silikatisches Festgestein	Rhyolithe		Braunerde-Ranker	TERRESTRISCHE HUMUSBÖDEN	Ranker	Ranker	brauner			614
hl06	silikatisches Festgestein	Rhyolithe		Braunerde (basenarm)	BRAUNERDEN	Braunerde	Typische Braunerde	basenarm			614
hl08	silikatisches Festgestein	Rhyolithe		Braunerde (basenarm)	BRAUNERDEN	Braunerde	Typische Braunerde	basenarm			614
j07	Moraene undifferenziert	Moraene undifferenziert		Braunerde basenreich	BRAUNERDEN	Braunerde	Typische Braunerde	basenreich			191
k03	Hangschutt	Hangschutt		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde				653
k05	Hangschutt	Hangschutt		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde				193
k06	Hangschutt	Hangschutt		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde				193
l01	Grundmoraene	Grundmoraene		Braunerde basenarm podsoliert	BRAUNERDEN	Braunerde	Podsolige Braunerde	basenarm			576
l03	Grundmoraene	Grundmoraene		Braunerde (basenarm)	BRAUNERDEN	Braunerde	Typische Braunerde	basenarm			576
l05	Moraene undifferenziert	Moraene undifferenziert		Braunerde (basenarm)	BRAUNERDEN	Braunerde	Typische Braunerde	basenarm			191
l07	Grundmoraene	Grundmoraene		Braunerde (basenarm)	BRAUNERDEN	Braunerde	Typische Braunerde	basenarm			576
l08	Grundmoraene	Grundmoraene		Braunerde auf Festgestein leicht	BRAUNERDEN	Braunerde	Typische Braunerde	auf Festgestein	leicht		576
l09	Moraene undifferenziert	Moraene undifferenziert		Braunerde auf Lockersediment leicht	BRAUNERDEN	Braunerde	Typische Braunerde	auf Lockersediment	leicht		191
l10	Moraene undifferenziert	Moraene undifferenziert		Braunerde auf Lockersediment leicht	BRAUNERDEN	Braunerde	Typische Braunerde	auf Lockersediment	leicht		191
lf01	Moraene undifferenziert	Moraene undifferenziert		Pararendsina verbraunt	TERRESTRISCHE HUMUSBÖDEN	Pararendzina	Pararendzina	verbraunt			191
lf02	Hangschutt	Hangschutt		Pararendsina verbraunt	TERRESTRISCHE HUMUSBÖDEN	Pararendzina	Pararendzina	verbraunt			193
lf03	Hangschutt	Hangschutt		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				193
lf04	Moraene undifferenziert	Moraene undifferenziert		Parabraunerde	BRAUNERDEN	Parabraunerde	Parabraunerde				191
lf05	Moraene undifferenziert	Moraene undifferenziert		Pararendsina-Pelosol	SUBSTRATBÖDEN	Textur-Substratboden	Textur-Substratboden				191
lf06	Moraene undifferenziert	Moraene undifferenziert		Pararendsina verbraunt	TERRESTRISCHE HUMUSBÖDEN	Pararendzina	Pararendzina	verbraunt			191
lf07	silikatisches Sedimentgestein	Pelite, Siltite und Sandsteine		Parabraunerde karbonathaltig	BRAUNERDEN	Parabraunerde	Parabraunerde	carbonathaltig			375
lf08	karbonatisches Festgestein	Kalke		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde				376
lf09	Hangschutt	Hangschutt		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				193
lf10	Hangschutt	Hangschutt		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				193
na01	Kolluvium	Kolluvium		Braunerde auf bindig-tonigem Material (Pelosol)	BRAUNERDEN	Braunerde	Braunerde – tonig				200
na02	silikatisches Festgestein	Rhyolithe		Braunerde (basenarm)	BRAUNERDEN	Braunerde	Typische Braunerde				574
na03	Hangschutt	Hangschutt		Pararendsina-Pelosol	SUBSTRATBÖDEN	Textur-Substratboden	Textur-Substratboden	Pararendzina			193
na04	silikatisches Festgestein	Rhyolithe		Kolluvisol carbonatfrei	UMGELAGERTE BÖDEN	Kolluvisol	Carbonatfreier Kolluvisol				574
na05	silikatisches Festgestein	Rhyolithe		Kalkbraunlehm (Terra fusca relikt.)	KALKLEHME	Kalkbraunlehm	Kalkbraunlehm	relikter			574
nb01	karbonatisches Festgestein	Kalke		Braunerde auf bindig-tonigem Material (Pelosol)	BRAUNERDEN	Braunerde	Braunerde – tonig				372
nb02	karbonatisches Festgestein	Kalke		Pararendsina verbraunt	TERRESTRISCHE HUMUSBÖDEN	Pararendzina	Pararendzina	verbraunt			372
nb03	karbonatisches Festgestein	Kalke		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				372
nb04	karbonatisches Festgestein	Kalke		Pararendsina-Pelosol	SUBSTRATBÖDEN	Textur-Substratboden	Textur-Substratboden	Pararendzina			372
nb05	karbonatisches Festgestein	Kalke		Pararendsina-Pelosol	SUBSTRATBÖDEN	Textur-Substratboden	Textur-Substratboden	Pararendzina			372
nb06	silikatisches Sedimentgestein	Pelite, Siltite und Sandsteine		Braunerde auf bindig-tonigem Material (Pelosol)	BRAUNERDEN	Braunerde	Braunerde – tonig				364
nf01	Moraene undifferenziert	Moraene undifferenziert		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde				191
nf02	Hangschutt	Hangschutt		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde				193
nf03	Hangschutt	Hangschutt		Pararendsina verbraunt	TERRESTRISCHE HUMUSBÖDEN	Pararendzina	Pararendzina	verbraunt			193
nf06	Hangschutt	Hangschutt		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde				193
pa01	Rutschmasse	Rutschmasse		Braunerden auf Festgesteinen	BRAUNERDEN	Braunerde	Typische Braunerde	auf Festgestein			811
pa02	Rutschmasse	Rutschmasse		Braunerden auf Festgesteinen	BRAUNERDEN	Braunerde	Typische Braunerde	auf Festgestein			811
pa05	silikatisches Festgestein	Rhyolithe		Braunerde podsolig	BRAUNERDEN	Braunerde	Podsolige Braunerde				614
qa01	Eisrandsedimente	Eisrandsedimente		Pararendzina	TERRESTRISCHE HUMUSBÖDEN	Pararendzina	Pararendzina				660
qa02	Moorablagerung	Moor rezent		Braunerde basenreich	BRAUNERDEN	Braunerde	Typische Braunerde	basenreich			568
qa03	Grundmoraene	Grundmoraene		Braunerde basenreich	BRAUNERDEN	Braunerde	Typische Braunerde	basenreich			576
qa04	Grundmoraene	Grundmoraene		Braunerde basenreich	BRAUNERDEN	Braunerde	Typische Braunerde	basenreich			576
qa06	Grundmoraene	Grundmoraene		Braunerde auf Lockersediment leicht	BRAUNERDEN	Braunerde	Typische Braunerde	auf Lockersediment	leicht		576
qa07	Grundmoraene	Grundmoraene		Braunerde basenarm podsoliert	BRAUNERDEN	Braunerde	Podsolige Braunerde	basenarm			576
qa08	Grundmoraene	Grundmoraene		Braunerde auf Lockersediment leicht	BRAUNERDEN	Braunerde	Typische Braunerde	auf Lockersediment	leicht		576
qa09	Grundmoraene	Grundmoraene		Braunerde auf Lockersediment leicht	BRAUNERDEN	Braunerde	Typische Braunerde	auf Lockersediment	leicht		576
qa10	Grundmoraene	Grundmoraene		Braunerde basenarm podsoliert	BRAUNERDEN	Braunerde	Podsolige Braunerde	basenarm			576
qa11	Grundmoraene	Grundmoraene		Braunerde basenarm podsoliert	BRAUNERDEN	Braunerde	Podsolige Braunerde	basenarm			576
qa12	Moraene undifferenziert	Moraene undifferenziert		Braunerde auf Lockersediment leicht	BRAUNERDEN	Braunerde	Typische Braunerde	auf Lockersediment	leicht		191
qa13	Moraene undifferenziert	Moraene undifferenziert		Braunerde basenarm podsoliert	BRAUNERDEN	Braunerde	Podsolige Braunerde	basenarm			191
qa14	silikatisches Festgestein	Rhyolithe		Braunerde basenarm podsoliert	BRAUNERDEN	Braunerde	Podsolige Braunerde	basenarm			614
qa15	silikatisches Festgestein	Rhyolithe		Braunerden auf Lockersedimenten	BRAUNERDEN	Braunerde	Typische Braunerde	auf Lockersediment			614
qa16	silikatisches Festgestein	Rhyolithe		Braunerde basenarm podsoliert	BRAUNERDEN	Braunerde	Podsolige Braunerde	basenarm			614
rc01	Blockschutt	Blockschutt		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				362
rc02	Hangschutt	Hangschutt		Pararendsina verbraunt	TERRESTRISCHE HUMUSBÖDEN	Pararendzina	Pararendzina	verbraunt			193
v01	gemischte Kegel	gemischte Kegel		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde				371
v02	gemischte Kegel	gemischte Kegel		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				371
v03	gemischte Kegel	gemischte Kegel		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde				371
v04	Hangschutt	Hangschutt		Parabraunerde	BRAUNERDEN	Parabraunerde	Parabraunerde				193
v04a	Hangschutt	Hangschutt		Parabraunerde	BRAUNERDEN	Parabraunerde	Parabraunerde				193
v05	gemischte Kegel	gemischte Kegel		Kalklehme (rezent)	KALKLEHME	Kalkbraunlehm	Kalkbraunlehm				371
v07	Moraene undifferenziert	Moraene undifferenziert		Parabraunerde	BRAUNERDEN	Parabraunerde	Parabraunerde				191
v08	karbonatisches Festgestein	Kalke		Braunerde auf bindig-tonigem Material (Pelosol)	BRAUNERDEN	Braunerde	Braunerde – tonig				372
